"","Suburb","Address","Rooms","Type","Price","Method","SellerG","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude","Regionname","Propertycount","Age"
"1","Abbotsford","55a Park St",4,"h",1600000,"VB","Nelson","4/06/2016",2.5,3067,3,1,2,120,142,2014,"Yarra",-37.8072,144.9941,"Northern Metropolitan",4019,9
"2","Abbotsford","40 Nicholson St",3,"h",1350000,"VB","Nelson","12/11/2016",2.5,3067,3,2,2,214,190,2005,"Yarra",-37.8085,144.9964,"Northern Metropolitan",4019,18
"3","Abbotsford","42 Valiant St",2,"h",890000,"S","Biggin","17/09/2016",2.5,3067,2,1,1,150,73,1985,"Yarra",-37.8011,145.0004,"Northern Metropolitan",4019,38
"4","Abbotsford","52a William St",2,"h",1100000,"PI","Biggin","18/06/2016",2.5,3067,2,2,1,124,135,2013,"Yarra",-37.8079,144.9977,"Northern Metropolitan",4019,10
"5","Abbotsford","48 Abbotsford St",3,"h",1447500,"PI","Nelson","22/08/2016",2.5,3067,3,3,1,166,174,2012,"Yarra",-37.8017,145.0001,"Northern Metropolitan",4019,11
"6","Abbotsford","45 Yarra St",3,"h",1195000,"SP","Jellis","27/11/2016",2.5,3067,3,2,1,120,128,1998,"Yarra",-37.8022,144.9954,"Northern Metropolitan",4019,25
"7","Airport West","1/37 Hillside Gr",3,"h",6e+05,"S","Maddison","4/03/2017",13.5,3042,2,1,1,290,116,1980,"Moonee Valley",-37.7273,144.8744,"Western Metropolitan",3464,43
"8","Airport West","11 Harrington Rd",6,"h",725000,"SP","Barry","7/05/2016",13.5,3042,6,3,2,976,186,1980,"Moonee Valley",-37.7239,144.8735,"Western Metropolitan",3464,43
"9","Airport West","3 Deidre Ct",3,"h",895000,"PI","Rendina","10/09/2016",13.5,3042,3,1,6,1063,133,1975,"Moonee Valley",-37.7249,144.8728,"Western Metropolitan",3464,48
"10","Airport West","174 Parer Rd",2,"h",675000,"S","Barry","16/07/2016",13.5,3042,2,1,1,612,100,1975,"Moonee Valley",-37.7187,144.8765,"Western Metropolitan",3464,48
"11","Airport West","6 Kittyhawk St",4,"h",773000,"S","Brad","17/09/2016",13.5,3042,5,3,4,531,309,1980,"Moonee Valley",-37.7263,144.8679,"Western Metropolitan",3464,43
"12","Airport West","478 Fullarton Rd",3,"h",810000,"PI","Barry","18/03/2017",13.5,3042,3,3,2,555,192,1980,"Moonee Valley",-37.7285,144.8694,"Western Metropolitan",3464,43
"13","Airport West","144 Marshall Rd",3,"h",715000,"S","Rendina","18/03/2017",13.5,3042,3,2,2,422,126,1995,"Moonee Valley",-37.7164,144.8792,"Western Metropolitan",3464,28
"14","Airport West","10 Hilbert Rd",3,"h",685000,"S","Barry","22/05/2016",13.5,3042,3,1,1,579,113,1975,"Moonee Valley",-37.7226,144.8733,"Western Metropolitan",3464,48
"15","Airport West","85 Roberts Rd",4,"h",9e+05,"S","Harcourts","27/11/2016",13.5,3042,4,2,3,628,146,1975,"Moonee Valley",-37.7256,144.8739,"Western Metropolitan",3464,48
"16","Albert Park","1 Moubray St",3,"h",1800000,"VB","Greg","7/11/2016",3.3,3206,3,2,1,132,159,1996,"Port Phillip",-37.8415,144.952,"Southern Metropolitan",3280,27
"17","Alphington","38 Bennett St",4,"h",2100000,"S","Nelson","19/11/2016",6.4,3078,4,2,2,575,271,2008,"Darebin",-37.7723,145.0319,"Northern Metropolitan",2211,15
"18","Alphington","2c Hamilton St",3,"h",865000,"SP","hockingstuart","22/05/2016",6.4,3078,3,1,1,180,131,2010,"Darebin",-37.7802,145.0243,"Northern Metropolitan",2211,13
"19","Altona","158 Queen St",3,"h",520000,"VB","Greg","3/09/2016",13.8,3018,3,2,1,352,242,2015,"Hobsons Bay",-37.87,144.825,"Western Metropolitan",5301,8
"20","Altona","59 Bracken Gr",5,"h",1525000,"S","Greg","3/12/2016",13.8,3018,5,3,3,729,268,2005,"Hobsons Bay",-37.8721,144.8105,"Western Metropolitan",5301,18
"21","Altona","2/60 David St",2,"h",535600,"SP","Compton","30/07/2016",13.8,3018,2,1,1,154,91,1996,"Hobsons Bay",-37.8646,144.8272,"Western Metropolitan",5301,27
"22","Altona North","2/36 May St",3,"h",675000,"S","hockingstuart","14/05/2016",11.1,3025,3,2,2,171,109,2012,"Hobsons Bay",-37.8337,144.8554,"Western Metropolitan",5132,11
"23","Altona North","252 Millers Rd",4,"h",693000,"SP","Raine&Horne","22/05/2016",11.1,3025,4,2,4,315,170,2008,"Hobsons Bay",-37.8391,144.8467,"Western Metropolitan",5132,15
"24","Altona North","1/156 Chambers Rd",3,"h",620000,"SP","Hunter","22/08/2016",11.1,3025,5,2,2,276,100,2010,"Hobsons Bay",-37.8262,144.8443,"Western Metropolitan",5132,13
"25","Armadale","44 Hampden Rd",4,"h",4200000,"VB","Kay","27/11/2016",6.3,3143,4,3,3,563,333,2000,"Stonnington",-37.8582,145.0138,"Southern Metropolitan",4836,23
"26","Armadale","4 Mercer Rd",3,"h",3512500,"S","Marshall","27/11/2016",6.3,3143,3,2,2,617,285,1998,"Stonnington",-37.8557,145.0264,"Southern Metropolitan",4836,25
"27","Ascot Vale","58 Fenton St",4,"h",1340000,"S","Nelson","14/05/2016",5.9,3032,3,2,2,683,232,1978,"Moonee Valley",-37.775,144.932,"Western Metropolitan",6567,45
