exports	imports
1.458	3.568
1.962	4.669
29.992	47.091
21.011	8.79
57.733	55.61
1.776	3.23
189.63	189.406
145.503	149.299
9.143	8.532
0.365	2.904
12.892	14.749
36.031	52.624
0.517	1.621
23.414	27.464
398.033	372.713
0.246	0.952
0.41	2.63
0.616	1.688
6.969	8.374
5.327	9.13
7.321	6.103
185.235	137.552
4.875	2.679
26.088	28.875
2.019	3.699
0.123	0.625
0.029	0.485
13.204	15.313
2.13	4.899
388.911	402.954
0.213	0.147
1.99	1.371
59.884	58.804
516.588	547.124
31.045	44.831
0.02	0.193
2.54	9.793
9.908	15.322
13.648	21.83
18	4.911
1.92	6.604
161.248	140.316
5.103	5.906
94.355	85.133
0.134	0.987
3.747	22.725
16.798	16.189
22.507	58.053
5.335	9.855
7.443	5.456
0.016	3.325
13.952	15.759
1.724	19.121
0.926	2.316
57.326	60.502
488.885	560.555
2.851	2.93
0.032	0.471
2.114	7.236
7.221	11.939
27.811	47.595
10.572	16.987
0.885	0.212
1.753	2.082
1.453	1.625
0.984	3.316
3.657	8.448
103.071	92.044
4.45	5.703
260.327	356.705
144.49	135.653
45.627	35.333
27.341	45.831
129.315	76.997
60.571	65.803
461.529	404.578
1.202	4.767
644.932	606.924
7.509	19.207
36.775	25.175
5.688	14.109
46.238	30.825
1.423	3.844
2.066	4.513
11.433	13.596
3.402	20.409
0.648	1.727
0.641	0.727
4.615	8.876
25.025	27.501
12.838	19.124
2.256	2.965
0.875	1.649
189.414	168.375
0.14	2.128
3.03	2.51
4.039	7.182
0.027	0.086
1.623	2.174
2.194	4.655
373.883	387.064
4.917	3.358
0.354	2.263
22.858	41.696
3.352	5.295
11.673	15.696
4.816	6.721
0.703	5.249
511.714	420.969
33.833	36.423
2.225	5.927
0.927	1.861
104.084	36.533
89.12	72.473
24.455	23.26
20.534	46.998
0.636	11.697
8.76	8.874
8.494	9.753
36.04	36.185
56.313	85.909
196.455	188.518
55.658	67.58
57.254	32.058
63.581	74.605
285.491	182.257
0.622	1.778
0.12	0.654
0.047	0.335
0.056	0.35
0.01	0.139
182.329	135.904
2.64	5.478
14.852	19.231
0.335	0.833
0.466	0.958
329.871	283.009
77.565	75.156
27.585	26.646
0.437	0.454
74.111	74.744
281.777	302.539
10.546	19.501
0.929	5.058
1.797	7.658
1.437	1.244
1.881	0.733
139.574	140.838
304.691	269.157
1.265	2.383
0.899	3.03
213.927	195.666
0.715	1.716
0.014	0.209
4.576	4.826
13.483	19.456
142.606	198.602
3.741	2.616
2.755	3.75
36.369	39.184
195.613	201.908
415.856	635.57
4.742	7.876
6.964	8.137
27.947	25.652
0.05	0.416
19.731	16.324
176.632	174.111
0.57	6.861
6.505	7.442
2.832	5.212
